Recognition Number,Name,Legal Name,Acronym,Email,Website,Head Office Address Line 1,Head Office Address Line 2,Head Office Address Town/City,Head Office Address County,Head Office Address Postcode,Head Office Address Country,Head Office Address Telephone Number,Ofqual Status,Ofqual Recognised From,Ofqual Recognised To,CCEA Regulation Status,CCEA Regulation Recognised From,CCEA Regulation Recognised To
"RN5216","1st4sport","UK Coaching Solutions Limited","1st4sport","cst@1st4sportqualifications.com","http://www.1st4sport.com","2 City Walk","Leeds",,"West Yorkshire","LS11 9AR","United Kingdom","0113 290 7610","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6110","safeagent","Approved Letting Scheme Limited","safeagents","info@safeagents.co.uk","safeagents.co.uk","Cheltenham Office Park","Hatherley Lane",,"Cheltenham","GL51 6SH","United Kingdom","01242 581712","Recognised","2023-03-03 00:00:00.0000000",,"Never been recognised",,
"RN6084","National Logistics Training Consortium","National Logistics Training Consortium Ltd","NLTC","info@nltc.org.uk","nltc.co.uk","National Logistics Training Consortium","119 - 120 Pioneer House","North Road","Ellesmere Port","CH65 1AD","United Kingdom","0151 363 2501","Recognised","2022-05-24 00:00:00.0000000",,"Never been recognised",,
"RN5240","NPTC","The City and Guilds of London Institute (NPTC)","NPTC","regulation@cityandguilds.com","www.cityandguilds.com","1 Giltspur Street",,"London",,"EC1A 9DD","United Kingdom","0207 294 2468","Surrendered","2010-04-01 00:00:00.0000000","2012-04-23 00:00:00.0000000","Never been recognised",,
"RN5334","ProQual Awarding Body","ProQual AB Limited","ProQual","jangrant@proqualab.com","http://www.proqualab.com","ProQual House","Unit 1, Innovation Drive","Newport","East Yorkshire","HU15 2GX","United Kingdom","01430 423822","Recognised","2011-04-13 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6079","Chartered Institute of Ecology and Environmental Management","Chartered Institute of Ecology and Environmental Management","CIEEM","enquiries@cieem.net","www.cieem.net","Grosvenor Court","Ampfield Hill",,"Ampfield","SO51 9BD","United Kingdom","01962868626","Recognised","2022-05-03 00:00:00.0000000",,"Never been recognised",,
"RN5343","Open College Network West Midlands","Open College Network West Midlands","Open College Network West Midlands","s.cockbill@opencollnet.org.uk","http://www.opencollnet.org.uk","Aldersley House","Overstrand","Pendeford Business Park","Wolverhampton","WV9 5HA","United Kingdom","01902 624230","Surrendered","2011-05-26 00:00:00.0000000","2023-03-31 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2016-07-31 00:00:00.0000000"
"RN5288","New Era Academy of Drama and Music (London) Ltd","The New Era Academy of Drama and Music (London) Ltd","NEA","derren.nesbitt@neweraacademy.co.uk","http://www.neweraacademy.co.uk","2 Aglaia Road",,"Worthing","West Sussex","BN11 5SN","United Kingdom","01903 246790","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5291","Qualsafe Awards","Qualsafe Limited","Qualsafe","info@qualsafeawards.org","http://qualsafeawards.org","City View","3 Wapping Road","Bradford","West Yorkshire","BD3 0ED","United Kingdom","0330 660 0899","Recognised","2010-09-27 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5169","Trinity College London","Trinity College London","TCL","info@trinitycollege.com","http://www.trinitycollege.com","Blue Fin Building","110 Southwark Street","London",,"SE1 0TA","United Kingdom","020 3752 4700","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6064","Verge EPA ","Verge EPA Limited","Verge EPA","alister@verge365.co.uk","www.verge365.co.uk","4 St Andrew's Drive","Alwoodley",,"Leeds","LS17 7TR","United Kingdom","+447866416044","Recognised","2022-01-24 00:00:00.0000000",,"Never been recognised",,
"RN5284","OTHM Qualifications","OTHM Qualifications","OTHM","info@othm.org.uk","http://www.othm.org.uk","8 Waterside Court, Galleon Boulevard","Crossways Business Park","Dartford","Kent","DA2 6NX","United Kingdom","020 7118 4243","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-08-03 00:00:00.0000000"
"RN5199","AABPS (Withdrawn 21 July 2014)","Accrediting & Assessment Bureau for Post-Secondary Schools Ltd","AABPS","info@aabps.co.uk","www.aabps.co.uk","224-236 Walworth Road",,"London",,"SE17 1JE","United Kingdom","02077019410","Withdrawn","2010-06-28 00:00:00.0000000","2014-08-01 00:00:00.0000000","Never been recognised",,
"RN5140","International Baccalaureate Organisation","International Baccalaureate Organization","IBO","accreditation@ibo.org","http://www.ibo.org","International Baccalaureate Organization (IBO)"," Rue du Pré-de-la-Bichette, 1","Genève ","Switzerland","CH-1202 ","Switzerland","+41 22 309 2540","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2017-10-19 00:00:00.0000000"
"RN5285","Institute of Revenues Rating and Valuation","The Institute of Revenues Rating and Valuation","IRRV","sue.williams-lee@irrv.org.uk","http://www.irrv.net","167-169 Great Portland Street, 5th Floor",,,"London","W1W 5PF","United Kingdom","0207 831 3505","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2018-08-03 00:00:00.0000000"
"RN5322","AIM Qualifications","AIM Qualifications and Assessment Group","AIM ","enquiries@aim-group.org.uk","http://www.aim-group.org.uk","3 Pride Point","Pride Park","Derby",,"DE24 8BX","United Kingdom","01332 341822","Recognised","2010-11-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6024","Autoexel Ltd","Autoexel Ltd","Autoexel Ltd","enquiries@autoexel.org.uk","https://autoexel.org.uk","21 The Quadrant","Barton Lane",,"Abingdon","OX14 3YS ","United Kingdom","0330 22 34 339","Recognised","2020-05-01 00:00:00.0000000",,"Never been recognised",,
"RN5173","WJEC-EDEXCEL-CBAC","WJEC- EDEXCEL partnership","WJEC-EDEXCEL","rits@wjec.co.uk","www.wjec.co.uk","245 Western Avenue","Llandaff","Cardiff",,"CF5 2YX","United Kingdom","02920265000","Surrendered","2010-04-01 00:00:00.0000000","2014-09-01 00:00:00.0000000","Never been recognised",,
"RN5250","The Chartered Institute of Logistics and Transport in the UK","The Chartered Institute of Logistics and Transport in the UK","CILT(UK)","ao@ciltuk.org.uk","http://www.ciltuk.org.uk","Earlstrees Court","Earlstrees Road ","Corby","Northants","NN17 4AX","United Kingdom","01536 740170","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5352","Accountants Institute","Accountants Inst. Ltd","AI","public.enquiries@ofqual.gov.uk","http://www.ofqual.gov.uk","36 New King St","Bath",,,"BA1 2BN","United Kingdom","01225437472","Surrendered","2013-02-12 00:00:00.0000000","2018-02-28 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2017-10-18 00:00:00.0000000"
"RN5279","Associated Sports Qualifications","Associated Sports Qualifications LLP","ASQ","rachelpalmer@asq.org.uk","http://www.asq.org.uk","Ping House","The Belfry","Sutton Coldfield","West Midlands","B76 9PW","United Kingdom","01675 624764","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5197","PIABC Ltd","PIABC Ltd","PIABC","piabc@iom3.org","http://www.piabc.org.uk","The Boilerhouse","Caunt Road","Grantham","Lincolnshire","NG31 7FZ","United Kingdom","01476 513884","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6088","Sheldrake Training Limited","Sheldrake Training Limited","Sheldrake","epa@sheldraketraining.co.uk","www.sheldraketraining.co.uk","Old Fire Station Enterprise Centre","Salt Lane",,"Salisbury","SP1 1DU","United Kingdom","01980845789","Recognised","2022-06-27 00:00:00.0000000",,"Never been recognised",,
"RN6119","RPD Ltd","Rail Professional Development Limited","RPD","pd@rpd.co.uk","www.rpd.co.uk","RPD Ltd, Cranes House","5 Paycocke Road",,"Basildon","SS143dp","United Kingdom","01268 822842","Recognised","2023-07-11 00:00:00.0000000",,"Never been recognised",,
"RN5278","RLSS UK Qualifications","IQL UK Limited","RLSS UK Qualifications","richardflavell@rlss.org.uk","https://www.rlss.org.uk","RLSS UK Qualifications","Red Hill House","227 London Road","Worcester","WR5 2JG","United Kingdom","0300 3230 096","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6022","iPET Network Limited","iPET Network Limited","iPET Network","info@ipetnetwork.co.uk","www.ipetnetwork.co.uk","iPET Network ","71 Clifton Drive ","Northwich","Cheshire","CW9 8BQ","United Kingdom","07739205401","Recognised","2020-02-14 00:00:00.0000000",,"Recognised","2020-07-20 00:00:00.0000000",
"XX1290","Insurance Industry Training Council","Insurance Industry Training Council","IITC","","http://www.ofqual.gov.uk/",,,,,,,,"Withdrawn","2010-10-28 00:00:00.0000000","2010-10-28 00:00:00.0000000","Never been recognised",,
"RN5204","Innovate Awarding","Innovate Awarding Ltd","IAO","contactus@innovateawarding.org","http://www.innovateawarding.org","Block F","291 Paintworks","Arnos Vale","Bristol","BS4 3AW","United Kingdom","01173142800","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2018-07-26 00:00:00.0000000"
"RN5166","Leadership Skills Foundation","The British Sports Trust (T/A as Sports Leaders UK)","Leadership Skills Foundation","hello@leadershipskillsfoundation.org","http://www.leadershipskillsfoundation.org","Leadership Skills Foundation","Bradwell Road","Loughton Lodge","Milton Keynes","MK8 9LA","United Kingdom","01908 689180","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6092","Accelerate People Limited","Accelerate People Limited","AP Ltd","lynn@accelerate-people.co.uk","https://www.accelerate-people.co.uk/","Scale Space","58 Wood Lane",,"London","W12 7RZ","United Kingdom","07971256193","Recognised","2022-07-26 00:00:00.0000000",,"Never been recognised",,
"RN6118","Railway Competence Group","Railway Competence Group Ltd","RCG","daniel.mindurski@railwaycompetencegroup.co.uk","railwaycompetencegroup.co.uk","Albion Wharf","19 Albion Street","Manchester","MANCHESTER","M1 5LN","United Kingdom","07956110523","Recognised","2023-06-21 00:00:00.0000000",,"Never been recognised",,
"RN5335","University of East London Global Examinations Board","University of East London Global Examinations Board","UELGB","rachaelmeech@hotmail.com","www.uelglobalexams.com","29th Floor One Canada Square","Canary Wharf","London",,"E14 5DY","United Kingdom","0207 7126553","Surrendered","2011-04-28 00:00:00.0000000","2013-03-01 00:00:00.0000000","Never been recognised",,
"RN5234","Hospitality Awarding Body","The City and Guilds of London Institute (HAB)","HAB","regulation@cityandguilds.com","http://www.cityandguilds.com","1 Giltspur Street",,"London",,"EC1A 9DD","United Kingdom","0207 294 2468","Surrendered","2010-04-01 00:00:00.0000000","2013-11-01 00:00:00.0000000","Never been recognised",,
"RN5351","SFJ Awards Ltd","SFJ Awards Ltd","SFJ Awards Ltd","info@sfjawards.com","http://www.sfjawards.com","1st Floor, Unit C, Meadowcourt Business Park","4 Hayland Street","Sheffield","South Yorkshire","S9 1BY","United Kingdom","0114 284 1970","Recognised","2012-05-08 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6089","Construction EPA Company","North West Skills Academy Ltd","Construction EPA Company","samuelriley@constructionepa.com","https://www.constructionepa.com/","Construction EPA Company","Preston New Road","Samlesbury","Preston","PR5 0UP","United Kingdom","0345 601 9576","Recognised","2022-06-28 00:00:00.0000000",,"Never been recognised",,
"RN6115","Institute of Risk Management","Institute of Risk Management","IRM","barbara.amponsah-abedi@theirm.org","www.theirm.org","2nd Floor","Sackville House","143-149 Fenchurch Street","London","EC3M 6BN","United Kingdom","02077099808","Recognised","2023-04-27 00:00:00.0000000",,"Never been recognised",,
"RN5184","FDQ Limited","FDQ Limited","FDQ","fdq@fdq.org.uk","http://www.fdq.org.uk","FDQ Ltd, Pure Offices","4100 Park Approach, Thorpe Park","Leeds","West Yorkshire","LS15 8GB","United Kingdom","0113 859 1266","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6041","NQual","NQual LTD","NQual","arobertson@nqual.co.uk","www.nqual.co.uk","Unit 11","Penketh Business Park","Liverpool Road","Warrington","WA5 2TJ","United Kingdom","01925931684","Recognised","2021-09-28 00:00:00.0000000",,"Never been recognised",,
"RN6081","The Real Consultancy Company","The Real Consultancy Company Ltd","TRCC","abirch@therealconsultancycompany.com","www.therealconsultancycompany.com","Highland House","Mayfield Close","Chandler's Ford","Eastleigh","SO53 4AR","United Kingdom","07557 652591","Recognised","2022-05-16 00:00:00.0000000",,"Never been recognised",,
"RN6015","N.I. Security Qualifications Ltd","N.I. Security Qualifications Ltd","NISQ","wmcdowell@NISQ.uk","https://nisq.uk","51, Old Ballygowan Road","Comber","County Down","Northern Ireland","BT23 5NP","United Kingdom","02891871329","Never been recognised",,,"Recognised","2019-09-02 00:00:00.0000000",
"RN6028","Energy & Utilities Independent Assessment Service","ENERGY AND UTILITY SKILLS LIMITED","EUIAS","enquiries@euias.co.uk","www.euias.co.uk","Avon House","435, Stratford Road","Shirley","Solihull","B90 4AA","United Kingdom","0121 7138310","Recognised","2021-02-23 00:00:00.0000000",,"Never been recognised",,
"RN5119","British Safety Council","British Safety Council","BSC","qualifications@britsafe.org","http://www.britsafe.org","70 Chancellors Road",,,"London","W6 9RS","United Kingdom","020 8741 1231","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2021-10-15 00:00:00.0000000"
"RN5231","Counselling and Psychotherapy Central Awarding Body","CPCAB Ltd","CPCAB","admin@cpcab.co.uk","http://www.cpcab.co.uk","PO Box 1768",,"Glastonbury","Somerset","BA6 8YP","United Kingdom","01458850350","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6090","Good 2 Go","Qualitrain Ltd","G2G","Alan.Bates@qualitrain.co.uk","www.good2goawards.org.uk","Pride Park","26 Royal Scot","Derby ","Derby","DE24 8AJ","United Kingdom","01332 345205","Recognised","2022-06-30 00:00:00.0000000",,"Never been recognised",,
"RN5138","Graded Qualifications Alliance","Graded Qualifications Alliance","GQAL","info@gqal.org","http://www.gqal.org","International Arts Centre","Garden Street","Leicester","Leicestershire","LE1 3UA","United Kingdom","0116 2624122","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5276","Institute of Operations Management","The Institute of Operations Management, a Trading Arm of The Chartered Institute of Logistics and Transport in the UK","IOM","quals@iomnet.org.uk","www.iomnet.org.uk","Earlstree Court","Earlstree Road","Corby","Northamptonshire","NN17 4AX","United Kingdom","01536 740100","Surrendered","2010-04-01 00:00:00.0000000","2014-10-01 00:00:00.0000000","Never been recognised",,
"RN6035","The British Council","The British Council","The British Council","GlobalAssessmentsTeam@britishcouncil.org","https://www.britishcouncil.org/","1 Redman Place, Stratford","British Council ",," London ","E20 1JQ","United Kingdom","020 7389 4385","Recognised","2021-07-15 00:00:00.0000000",,"Never been recognised",,
"RN6052","Military Independent Assessment Authority (Royal Air Force)","Royal Air Force","MIAA (RAF)","duncan.pope806@mod.gov.uk","www.raf.mod.uk","Military Independent Assessment Authority (RAF)","Kestrel Court","Waterwells Road","Gloucester","GL2 2AT","United Kingdom","07825 218391","Recognised","2021-11-25 00:00:00.0000000",,"Never been recognised",,
"RN6106","The Qualification Hub","The Qualification Hub Ltd","TQH","lois@thequalificationhub.com","https://thequalificationhub.com/","Old Gasworks Business Park","1st Floor Unit 1a Kilmorey Street","Newry","County Down","BT34 2DH","United Kingdom","07812 599980","Never been recognised",,,"Recognised","2023-01-09 00:00:00.0000000",
"RN5174","WSET Awards","Wine & Spirit Education Trust","WSET","janderson@wsetglobal.com","http://www.wsetglobal.com","39-45","Bermondsey Street","London","London","SE1 3XF","United Kingdom","020 7089 3800","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-09-19 00:00:00.0000000"
"RN5195","MP Awards","Mineral Products Qualifications Council","MPQC","ruth.swaby@mpawards.co.uk","http://www.mpawards.co.uk","MP House","4a Meadowbank Way","Eastwood","Nottingham","NG16 3SB","United Kingdom","0115 972 6121","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-08-15 00:00:00.0000000"
"RN6013","Insulation Environmental Training Trust Ltd","Insulation Environmental Training Trust Ltd","IETTL","iettl@tica.uk.com","https://tica-acad.co.uk/iettl-tica/","TICA House","Allington Way","Yarm Road Business Park","Darlington","DL1 4QB","United Kingdom","01325466704","Recognised","2019-07-05 00:00:00.0000000",,"Never been recognised",,
"RN6038","CIPFA ","Chartered Institute of Public Finance and Accountancy","CIPFA","customerservices@cipfa.org","https://www.cipfa.org","The Chartered Institute of Public Finance and Acco","7 Mansell Street, ",,"London","E1 8AN","United Kingdom","(0)20 7543 5600","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5149","Education & Media Services Ltd trading as ITEC","Education & Media Services Ltd","ITEC","info@itecworld.co.uk","http://www.itecworld.co.uk","Chiswick Gate","298-608 Chiswick High Road","London",,"W4 5RT","United Kingdom","0208 994 4141","Surrendered","2010-04-01 00:00:00.0000000","2018-01-05 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2018-01-09 00:00:00.0000000"
"RN5239","Active IQ","Active IQ Limited","Active IQ","lee@activeiq.co.uk","http://www.activeiq.co.uk","Q6 Quorum Business Park",,,"Newcastle Upon Tyne","NE12 8BT","United Kingdom","01480467950","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5187","PAA\VQSET","The Process Awards Authority (T/A PAA/VQ-SET)","PAA\VQSET","info@paa-uk.org","http://www.paa-uk.org","Unit 1, Twelve O'clock Court","Attercliffe Rd","Sheffield","South Yorkshire","S4 7WW","United Kingdom","01142720033","Surrendered","2010-04-01 00:00:00.0000000","2021-04-30 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2016-09-16 00:00:00.0000000"
"RN5261","British Canoeing Awarding Body","British Canoeing","BCAB","enquiries@britishcanoeingawarding.co.uk","https://www.britishcanoeingawarding.org.uk/","British Canoeing","National Water Sports Centre. Adbolton Lane. ","Holme Pierrepont","Nottinghamshire","NG12 2LU","United Kingdom","0300 011 9500","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6045","Suffolk County Council","Suffolk County Council","SCC","jacqui.phipps@suffolk.gov.uk","www.suffolk.gov.uk","Endeavour House","Russell Road",,"Ipswich","IP1 2BX","United Kingdom","0345 606 6067","Recognised","2021-12-30 00:00:00.0000000",,"Never been recognised",,
"RN5222","Association of International Accountants","The Association of International Accountants","AIA","david.potts@aiaworldwide.com","http://www.aiaworldwide.com","Staithes 3 The Watermark","Metro Riverside","Newcastle upon Tyne","Tyne and Wear","NE11 9SN","United Kingdom","0191 4930277","Surrendered","2010-04-01 00:00:00.0000000","2020-06-05 00:00:00.0000000","Never been recognised",,
"RN5303","SFEDI Enterprises Ltd. T/A SFEDI Awards","SFEDI Enterprises Ltd","SFEDI Awards","customerservices@sfediawards.com","http://www.sfediawards.com","53 Coniscliffe Road","Darlington","County Durham",,"DL3 7EH","United Kingdom","0845 224 5928","Recognised","2010-10-21 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-09-26 00:00:00.0000000"
"RN5148","ITC First","ITC First Aid Ltd","ITC","mail@itcfirst.org.uk","http://www.itcfirst.org.uk","Tranquility House","Harbour Walk","Hartlepool","Hartlepool","TS24 0UX","United Kingdom","0345 370 7610","Recognised","2010-04-01 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-08-03 00:00:00.0000000"
"RN5202","Propertymark Qualifications","Propertymark Qualifications Ltd","Propertymark","qualifications@propertymark.co.uk","http://www.propertymarkqualifications.co.uk","Arbon House","6 Tournament Court, Edgehill Drive","Warwick","Warwickshire","CV34 6LG","United Kingdom","01926 417794","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN6058","The Transport Planning Society","The Transport Planning Society Ltd","TPS","info@tps.org.uk","www.tps.org.uk","1 Great George Street","Westminster",,"London","SW1P 3AA","United Kingdom","07788724827","Recognised","2021-12-23 00:00:00.0000000",,"Never been recognised",,
"RN6082","Cornwall Council (Cornwall Fire and Rescue Service)","Cornwall Council (Cornwall Fire and Rescue Service)","CFRS","EPAPartnership@nationalfirechiefs.org.uk","https://www.nationalfirechiefs.org.uk/epa","New County Hall",,,"Truro","TR1 3AY","United Kingdom","07812672254","Recognised","2022-05-19 00:00:00.0000000",,"Never been recognised",,
"RN6129","RLSS UK Qualifications","RLSS UK Enterprises Ltd","RLSS UK Qualifications","compliance@rlss.org.uk","https://www.rlss.org.uk/","RLSS UK Qualifications","Red Hill House","227 London Road","Worcester","Wr5 2jg","United Kingdom","0300 323 0096","Recognised","2023-12-27 00:00:00.0000000",,"Recognised","2024-01-05 00:00:00.0000000",
"RN5337","OCN London","Open College Network London Region","OCNLR","c.cubillo-barsi@ocnlondon.org.uk","http://www.ocnlondon.org.uk","24 Angel Gate","City Road","London","Greater London","EC1V 2PT","United Kingdom","020 7278 5511","Recognised","2011-05-12 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-10-03 00:00:00.0000000"
"RN5259","Signature","CACDP Trading as Signature","Signature","Lindsay.foster@signature.org.uk","http://www.signature.org.uk","1st Floor Shannon House","Mandale Business Park","Belmont","County Durham","DH1 1TH","United Kingdom","0191 383 1155","Recognised","2010-04-01 00:00:00.0000000",,"Recognised","2016-05-04 00:00:00.0000000",
"RN5245","Institute of Hospitality","Institute of Hospitality","Institute of Hospita","awardingbody@instituteofhospitality.org","http://www.instituteofhospitality.org","Trinity Court","34 West Street","Sutton","Surrey","SM1 1SH","United Kingdom","020 8661 4900","Surrendered","2010-04-01 00:00:00.0000000","2018-02-28 00:00:00.0000000","Surrendered","2016-05-04 00:00:00.0000000","2016-09-15 00:00:00.0000000"
"RN5319","CFA Society of UK","CFA Society of the UK","CFA UK","info@cfauk.org","http://www.cfauk.org","3rd Floor, Boston House","63‐64 New Broad Street ",,"London","EC2M 1JJ ","United Kingdom","0207 648 6200","Recognised","2010-10-21 00:00:00.0000000",,"Surrendered","2016-05-04 00:00:00.0000000","2016-10-05 00:00:00.0000000"
"RN6033","Royal Aeronautical Society","Royal Aeronautical Society","RAeS","rosalind.azouzi@aerosociety.com","www.aerosociety.com","4 Hamilton Place",,,"London","W1J 7BQ","United Kingdom","07824512941","Recognised","2021-06-16 00:00:00.0000000",,"Never been recognised",,
"RN6070","Institution of Mechanical Engineers","Institution of Mechanical Engineers","IMechE","epa@imeche.org","www.imeche.org","1 Birdcage Walk",,,"London","SW1H 9JJ","United Kingdom","07887931688","Recognised","2022-03-11 00:00:00.0000000",,"Never been recognised",,
"RN5298","United Kingdom Co-ordinating Group","United Kingdom Co-ordinating Group","UKCG","","http://www.ofqual.gov.uk/","12 St. Peters Road","Peterborough","","","NW1 0JF","United Kingdom","0131 465 2892","Withdrawn","2010-10-20 00:00:00.0000000","2010-10-21 00:00:00.0000000","Never been recognised",,
"RN6091","The Learning Institute","Westcountry Schools Trust","TLI","lesley.taylor@learninginstitute.co.uk","https://www.learninginstitute.co.uk","Westcountry Schools Trust","51 Encombe Street","Plymouth","Devon","PL9 7GN","United Kingdom","01752891790","Recognised","2022-06-30 00:00:00.0000000",,"Never been recognised",,
"RN6111","British Marine","British Marine Federation","BM","EPAO@britishmarine.co.uk","https://britishmarine.co.uk/","Tagus House","9 Ocean Way","Southampton","Hampshire","S014 3TJ","United Kingdom","07584563343","Recognised","2023-03-09 00:00:00.0000000",,"Never been recognised",,
"RN6112","Systems Practitioner Assessment Ltd","Systems Practitioner Assessment Ltd.","SPA","contact@systemspractitionerassessment.org","https://www.systemspractitionerassessment.org/","Unit 14","Tower Street","Brunswick Business Park ","Liverpool","L3 4BJ","United Kingdom","01925 755651","Recognised","2023-03-16 00:00:00.0000000",,"Never been recognised",,
"RN6050","Chartered Institution of Highways and Transportation","CIHT","CIHT","professionaldevelopment@ciht.org.uk","https://www.ciht.org.uk/about-us/about-ciht/","Chartered Institution of Highways & Transportation","119 Britannia Walk",,"London","N1 7JE","United Kingdom"," 020 7336 1555","Recognised","2021-11-25 00:00:00.0000000",,"Never been recognised",,
"RN6123","The Rail Academy","The Rail Academy Limited","The Rail Academy","cath.bellamy@therailacademy.com","www.therailacademy.com","4 Brindleyplace","Birmingham","England","Birmingham","B1 2JB","United Kingdom","07776102102","Recognised","2023-09-14 00:00:00.0000000",,"Never been recognised",,
