Qualification Title,Owner Organisation Name,Owner Organisation Acronym,Qualification Level,Qualification Type,Qualification Status
Pearson Edexcel Level 3 Key Skills in Working With Others,Pearson Education Ltd,Pearson,Level 3,Key Skills,No longer awarded
Pearson Edexcel Level 3 NVQ Arabic Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Reading Arabic (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Reading French (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Reading German (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Reading Italian (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Reading Spanish (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Reading Welsh (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking Arabic (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking Chinese (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking French (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking German (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking Italian (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking Spanish (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Speaking Welsh (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken Arabic (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken Chinese (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken French (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken German (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken Italian (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken Spanish (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Understanding Spoken Welsh (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Writing Arabic (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Writing French (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Writing German (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Writing Italian (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Writing Spanish (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Award in Writing Welsh (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Advice and Guidance,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Apparel Manufacturing Technology,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Arabic (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Archaeological Practice (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Business and Administration (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Footwear and Leather (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in French (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in German (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Housing,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Italian (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Management (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Reading Chinese (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Spanish (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Tourism Services (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Welsh (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Certificate in Writing Chinese (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Chinese Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Accessing Operations and Rigging (Construction),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Accessing Operations and Rigging (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Achieving Excellence in Sports Performance (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Aeronautical Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Automotive Clay Modelling (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Automotive Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Barbering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Beauty Therapy - General (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Beauty Therapy - Make-up (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Beauty Therapy - Massage (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Built Environment Design (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Bus and Coach Engineering and Maintenance (Body) (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Bus and Coach Engineering and Maintenance (Electrical) (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Bus and Coach Engineering and Maintenance (Mechanical) (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Bus and Coach Engineering and Maintenance (Mechelec) (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Business and Administration (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Business-Improvement Techniques,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Chinese (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Combined Working Practices (QCF),Pearson Education Ltd,Pearson,Level 3,Vocationally-Related Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Construction Contracting Operations (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Construction Site Supervision (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Construction Site Supervision (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Controlling Lifting Operations - Supervising Lifts (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Controlling Lifting Operations - Supervising Lifts (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Customer Service (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Decorative Finishing - Painting and Decorating (Construction),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Decorative Finishing - Painting and Decorating (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Design (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Electrical and Electronic Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Electrical and Electronic Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Engineering Leadership (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Engineering Maintenance (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Engineering Technical Support (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Engineering Toolmaking (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
"Pearson Edexcel Level 3 NVQ Diploma in Engineering Woodworking, Pattern and Model Making (QCF)",Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Event Management (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Fabrication and Welding Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Formwork (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Formwork (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Hairdressing (Combined Hair Types) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Hairdressing (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Housing (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Installation and Commissioning (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Laboratory Science,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Leisure Management,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Management (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Manufacturing Textile Products (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Marine Engineering,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Materials Processing and Finishing (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Mechanical Manufacturing Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Nail Services (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Occupational Work Supervision (Construction),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Occupational Work Supervision (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Outdoor Programmes (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Passenger Carrying Vehicle Driving Instruction (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma In Personal Training,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Plastering (Construction),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Professional Cookery (Patisserie and Confectionery),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Professional Cookery (Preparation and Cooking),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Roofing Occupations (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Roofing Occupations (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Site Inspection,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Spa Therapy (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Sport and Play Surfaces (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Sports Development,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
"Pearson Edexcel Level 3 NVQ Diploma in Surveying, Property and Maintenance",Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Temporary Structures for Events (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Travel Services,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Trowel Occupations (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Trowel Occupations (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Wall and Floor Tiling (Construction),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Wall and Floor Tiling (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Wood Occupations (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Diploma in Wood Occupations (Construction) (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Aeronautical Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Automotive Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Automotive Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Electrical and Electronic Engineering,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Electrical and Electronic Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Leadership (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Maintenance ,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Maintenance (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Technical Support (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Toolmaking (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Toolmaking (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
"Pearson Edexcel Level 3 NVQ Extended Diploma in Engineering Woodworking, Pattern and Model Making (QCF)",Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Fabrication and Welding Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Installation and Commissioning (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Installation and Commissioning (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Marine Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Marine Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Materials Processing and Finishing (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Mechanical Manufacturing Engineering,Pearson Education Ltd,Pearson,Level 3,Occupational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ Extended Diploma in Mechanical Manufacturing Engineering (QCF),Pearson Education Ltd,Pearson,Level 3,QCF,No longer awarded
Pearson Edexcel Level 3 NVQ for Communication Technology Professionals,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ for Contact Centre Professionals,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ for IT Professionals,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ for IT Users,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ for Managing in Road Passenger Transport,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ French Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Accounting,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Achieving Excellence in Sports Performance,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Advice and Guidance,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Arabic,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Beauty Therapy,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Built Environment Design,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Business and Administration,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Business-Improvement Techniques,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
"Pearson Edexcel Level 3 NVQ in Children's Care, Learning and Development",Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Chinese,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Construction Contracting Operations,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Construction Site Supervision,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Controlling Lifting Operations,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Custodial Care,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Customer Service,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Design,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Direct Training and Support,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Driving Goods Vehicles,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Driving Instruction,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Emergency Fire Services - Operations in the Community,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Emergency Fire Services - Watch Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Environmental Conservation,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Facilities Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Fire and Rescue Sector Control Operations,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Fire Safety,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Food Manufacture,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Formwork (Construction),Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in French,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in German,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in German Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Health,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Health and Social Care,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Italian,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Italian Language Units,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Learning and Development,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
"Pearson Edexcel Level 3 NVQ in Learning, Development and Support Services for Children, Young People and Those who Care for Them",Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Leisure Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Logistics Operations Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Nail Services,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Occupational Work Supervision,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Pharmacy Services,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Playwork,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Police Supervisory Management,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Professional Cookery,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Providing Financial Advice,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Retail Financial Services,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Road Passenger Transport Operations,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Sale of Residential Property,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Sales,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Search for and Disposal of Munitions,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Search for Munitions and/or Specified Targets,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Spa Therapy,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Spanish,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Spectator Safety,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
Pearson Edexcel Level 3 NVQ in Sports Development,Pearson Education Ltd,Pearson,Level 3,National Vocational Qualification,No longer awarded
